year,month,product,location,type,price_then,price_now
2026,July,Moon Bag,Busia,Deal of the Week,1600.0,1200.0
2026,July,Oval Handbag,Busia,Deal of the Week,1600.0,1200.0
2026,July,Prime,Busia,Deal of the Week,2800.0,2400.0
2026,July,Remi,Busia,Deal of the Week,2700.0,2300.0
2026,July,Antitheft,Eldoret,Deal of the Week,2600.0,2200.0
2026,July,Avana,Eldoret,Deal of the Week,2100.0,1700.0
2026,July,Code 3,Eldoret,Deal of the Week,2100.0,1800.0
2026,July,Jade,Eldoret,Deal of the Week,3100.0,2700.0
2026,July,Kate,Eldoret,Deal of the Week,1600.0,1200.0
2026,July,Nizana,Eldoret,Deal of the Week,1600.0,1200.0
2026,July,Prime,Eldoret,Deal of the Week,2800.0,2400.0
2026,July,Reo Travel,Eldoret,Deal of the Week,2800.0,2400.0
2026,July,Sierra Handbag,Eldoret,Deal of the Week,2700.0,2300.0
2026,July,Trecento,Eldoret,Deal of the Week,2100.0,1700.0
2026,July,Antitheft,Kakamega,Deal of the Week,2600.0,2200.0
2026,July,Avana HB,Kakamega,Deal of the Week,2100.0,1700.0
2026,July,Belt Bag,Kakamega,Deal of the Week,1400.0,1000.0
2026,July,Bonita,Kakamega,Deal of the Week,3900.0,3500.0
2026,July,Brief Case,Kakamega,Deal of the Week,2800.0,2400.0
2026,July,Elyse,Kakamega,Deal of the Week,3100.0,2700.0
2026,July,Lola,Kakamega,Deal of the Week,2100.0,1800.0
2026,July,Mini Zuri,Kakamega,Deal of the Week,2600.0,2200.0
2026,July,Neo Man,Kakamega,Deal of the Week,1600.0,1200.0
2026,July,Nizana,Kakamega,Deal of the Week,1600.0,1200.0
2026,July,Antitheft,Kisii,Deal of the Week,2600.0,2200.0
2026,July,Belt Bag,Kisii,Deal of the Week,1400.0,1000.0
2026,July,Gym Bag,Kisii,Deal of the Week,2600.0,2200.0
2026,July,Jade,Kisii,Deal of the Week,3100.0,2700.0
2026,July,Lola,Kisii,Deal of the Week,2100.0,1800.0
2026,July,Mega,Kisii,Deal of the Week,3000.0,2600.0
2026,July,Mini Umbra,Kisii,Deal of the Week,1600.0,1200.0
2026,July,Moon Bag,Kisii,Deal of the Week,1600.0,1200.0
2026,July,Nizana,Kisii,Deal of the Week,1600.0,1200.0
2026,July,Reo Travel,Kisii,Deal of the Week,2800.0,2400.0
2026,July,Amaya,Kisumu,Deal of the Week,3500.0,3100.0
2026,July,Antitheft,Kisumu,Deal of the Week,2600.0,2200.0
2026,July,Belt Bag,Kisumu,Deal of the Week,1400.0,1000.0
2026,July,Jade,Kisumu,Deal of the Week,3100.0,2700.0
2026,July,Jamela,Kisumu,Deal of the Week,3600.0,3200.0
2026,July,Liam,Kisumu,Deal of the Week,2100.0,1700.0
